FID,Z,Lat,Lon
250,0.000000000000000,-72.8361969,67.3313980
251,0.000000000000000,-72.8358994,67.3314972
252,0.000000000000000,-72.8356018,67.3315964
253,0.000000000000000,-72.8354034,67.3318024
254,0.000000000000000,-72.8350983,67.3319016
255,0.000000000000000,-72.8348007,67.3320007
256,0.000000000000000,-72.8345032,67.3320999
257,0.000000000000000,-72.8342972,67.3322983
258,0.000000000000000,-72.8339996,67.3323975
259,0.000000000000000,-72.8337021,67.3324966
260,0.000000000000000,-72.8335037,67.3326035
261,0.000000000000000,-72.8331985,67.3328018
262,0.000000000000000,-72.8329010,67.3329010
263,0.000000000000000,-72.8327026,67.3330002
264,0.000000000000000,-72.8323975,67.3330994
265,0.000000000000000,-72.8320999,67.3332977
266,0.000000000000000,-72.8319016,67.3333969
267,0.000000000000000,-72.8315964,67.3335037
268,0.000000000000000,-72.8312988,67.3336029
269,0.000000000000000,-72.8311005,67.3338013
270,0.000000000000000,-72.8308029,67.3339005
271,0.000000000000000,-72.8304977,67.3339996
272,0.000000000000000,-72.8302994,67.3340988
273,0.000000000000000,-72.8300018,67.3342972
274,0.000000000000000,-72.8296967,67.3343964
275,0.000000000000000,-72.8294983,67.3345032
276,0.000000000000000,-72.8292007,67.3346024
277,0.000000000000000,-72.8289032,67.3348007
278,0.000000000000000,-72.8286972,67.3348999
279,0.000000000000000,-72.8283997,67.3349991
280,0.000000000000000,-72.8281021,67.3350983
281,0.000000000000000,-72.8279037,67.3352966
282,0.000000000000000,-72.8275986,67.3354034
283,0.000000000000000,-72.8273010,67.3355026
284,0.000000000000000,-72.8271027,67.3356018
285,0.000000000000000,-72.8267975,67.3358002
286,0.000000000000000,-72.8264999,67.3358994
287,0.000000000000000,-72.8263016,67.3359985
288,0.000000000000000,-72.8259964,67.3360977
289,0.000000000000000,-72.8256989,67.3363037
290,0.000000000000000,-72.8255005,67.3364029
291,0.000000000000000,-72.8252029,67.3365021
292,0.000000000000000,-72.8248978,67.3366013
293,0.000000000000000,-72.8246994,67.3367996
294,0.000000000000000,-72.8244019,67.3368988
295,0.000000000000000,-72.8240967,67.3369980
296,0.000000000000000,-72.8238983,67.3370972
297,0.000000000000000,-72.8236008,67.3373032
298,0.000000000000000,-72.8233032,67.3374023
299,0.000000000000000,-72.8230972,67.3375015
300,0.000000000000000,-72.8227997,67.3376007
301,0.000000000000000,-72.8225021,67.3377991
302,0.000000000000000,-72.8223038,67.3378983
303,0.000000000000000,-72.8219986,67.3379974
304,0.000000000000000,-72.8217010,67.3380966
305,0.000000000000000,-72.8214035,67.3383026
306,0.000000000000000,-72.8211975,67.3384018
307,0.000000000000000,-72.8209000,67.3385010
308,0.000000000000000,-72.8206024,67.3386002
309,0.000000000000000,-72.8203964,67.3387985
310,0.000000000000000,-72.8200989,67.3388977
311,0.000000000000000,-72.8198013,67.3389969
312,0.000000000000000,-72.8196030,67.3391037
313,0.000000000000000,-72.8192978,67.3393021
314,0.000000000000000,-72.8190002,67.3394012
315,0.000000000000000,-72.8188019,67.3395004
316,0.000000000000000,-72.8184967,67.3395996
317,0.000000000000000,-72.8181992,67.3397980
318,0.000000000000000,-72.8180008,67.3398972
319,0.000000000000000,-72.8177032,67.3399963
320,0.000000000000000,-72.8173981,67.3401031
321,0.000000000000000,-72.8171997,67.3403015
322,0.000000000000000,-72.8169022,67.3404007
323,0.000000000000000,-72.8165970,67.3404999
324,0.000000000000000,-72.8163986,67.3405991
325,0.000000000000000,-72.8161011,67.3407974
326,0.000000000000000,-72.8158035,67.3408966
327,0.000000000000000,-72.8155975,67.3410034
328,0.000000000000000,-72.8153000,67.3411026
