Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-71.64018231,84.27839661,84.34453793,84.5386,0.260203394,0.194062074,-25.41908432
-71.6401886,83.67839813,83.89702654,84.5386,0.860201868,0.641573463,-25.41594169
-71.64019486,83.68540955,83.90225603,84.5386,0.853190454,0.63634397,-25.41595289
-71.64020111,83.81575012,83.9994711,84.5386,0.722849878,0.539128903,-25.41620066
-71.64020739,83.53121948,83.78725272,84.5386,1.007380518,0.751347279,-25.41574257
-71.64021361,84.25894928,84.33003306,84.5386,0.27965072,0.208566944,-25.41877099
-71.64021991,83.51714325,83.7767539,84.5386,1.02145675,0.761846096,-25.41572653
-71.64022613,84.26998138,84.3382614,84.5386,0.268618616,0.200338602,-25.41894316
-71.64022616,83.75074005,83.95098306,84.5386,0.787859949,0.587616938,-25.41606682
-71.64023243,83.57958221,83.82332427,84.5386,0.959017786,0.715275731,-25.41580125
-71.64023241,83.90497589,84.06602051,84.5386,0.633624109,0.472579487,-25.41642903
-71.64023241,83.91173553,84.07106222,84.5386,0.626864465,0.467537778,-25.41644898
-71.64024494,83.7204361,83.92838073,84.5386,0.818163904,0.61021927,-25.41601171
-71.64025121,83.53387451,83.78923299,84.5386,1.004725488,0.749367014,-25.41574564
-71.64025746,83.7084198,83.91941832,84.5386,0.8301802,0.619181676,-25.41599097
-71.64025746,83.63661957,83.86586582,84.5386,0.901980432,0.672734181,-25.41587855
-71.6402637,83.96073151,84.10760607,84.5386,0.577868494,0.430993926,-25.41660755
-71.64026372,83.64411926,83.8714595,84.5386,0.894480737,0.667140502,-25.41588945
-71.64026999,83.56941986,83.81574463,84.5386,0.969180139,0.722855365,-25.41578843
-71.64027623,83.92564392,84.08143585,84.5386,0.612956079,0.45716415,-25.41649142
-71.64028874,84.06916046,84.18847827,84.5386,0.469439539,0.350121734,-25.41707614
-71.64028876,83.63977051,83.86821596,84.5386,0.898829492,0.670384039,-25.41588311
-71.640295,84.09116364,84.20488943,84.5386,0.447436365,0.333710574,-25.41719895
-71.64029502,83.58824921,83.82978858,84.5386,0.950350793,0.708811419,-25.4158124
-71.64029502,83.67061615,83.89122231,84.5386,0.86798385,0.647377687,-25.41592946
-71.64031379,83.77025604,83.96553915,84.5386,0.768343958,0.573060853,-25.41610462
-71.64032002,84.29454803,84.35658454,84.5386,0.244051965,0.182015463,-25.41938248
-71.64032005,83.79291534,83.98243968,84.5386,0.745684656,0.556160318,-25.41615098
-71.64032631,83.76425171,83.96106079,84.5386,0.774348291,0.577539211,-25.41609279
-71.64034509,83.84642029,84.02234657,84.5386,0.692179712,0.51625343,-25.41627251
-71.64035132,84.29640198,84.35796731,84.5386,0.242198022,0.180632692,-25.41941925
-71.64036385,84.09128571,84.20498047,84.5386,0.447314294,0.333619527,-25.41719966
-71.64036386,83.9174881,84.0753528,84.5386,0.621111902,0.463247205,-25.4164663
-71.64037639,83.77444458,83.96866318,84.5386,0.76415542,0.569936815,-25.41611298
-71.64038264,84.04354858,84.16937554,84.5386,0.495051416,0.36922446,-25.41694694
-71.64038268,83.38648987,83.67930553,84.5386,1.152110132,0.859294471,-25.41559637
-71.64038891,83.90326691,84.06474586,84.5386,0.635333093,0.47385414,-25.41642405
-71.64039515,84.18028259,84.27135918,84.5386,0.358317407,0.267240824,-25.41785062
-71.64040768,84.12065125,84.22688288,84.5386,0.417948755,0.311717116,-25.41738381
-71.64040767,84.26500702,84.33455125,84.5386,0.273592981,0.204048754,-25.41886381
-71.64041397,83.47481537,83.74518348,84.5386,1.063784631,0.793416524,-25.41568086
-71.64041397,83.54393005,83.79673295,84.5386,0.994669946,0.741867045,-25.41575744
-71.64042648,83.70358276,83.9158106,84.5386,0.835017236,0.622789399,-25.41598279
-71.64042647,83.88440704,84.05067915,84.5386,0.654192957,0.487920849,-25.41637086
-71.64043277,83.14250946,83.49733171,84.5386,1.39609054,1.041268286,-25.41541854
-71.64043901,83.62602997,83.85796752,84.5386,0.912570032,0.680632478,-25.41586347
-71.64043899,84.01135254,84.14536198,84.5386,0.527247461,0.393238016,-25.41680233
-71.64044525,84.00917816,84.14374022,84.5386,0.529421838,0.394859785,-25.4167932
-71.64045152,83.811409,83.99623325,84.5386,0.727191003,0.542366749,-25.41619097
-71.64045155,83.29598236,83.61180012,84.5386,1.242617639,0.926799877,-25.41552226
-71.64045778,83.76938629,83.96489044,84.5386,0.769213708,0.573709561,-25.41610289
-71.64046403,84.08737183,84.20206129,84.5386,0.451228174,0.336538711,-25.41717693
-71.64046403,84.08664703,84.2015207,84.5386,0.451952966,0.3370793,-25.41717276
-71.64047031,83.73264313,83.9374854,84.5386,0.805956873,0.601114605,-25.41603341
-71.64048286,83.19256592,83.53466653,84.5386,1.346034082,1.003933466,-25.41544977
-71.64048288,82.83427429,83.26743322,84.5386,1.704325708,1.271166784,-25.41526667
-71.64048908,83.87443542,84.04324178,84.5386,0.664164575,0.495358222,-25.41634395
-71.64048913,82.98561859,83.380314,84.5386,1.552981409,1.158286001,-25.41533371
-71.64049535,83.85753632,84.03063751,84.5386,0.681063684,0.507962494,-25.41630015
-71.64049536,83.63798523,83.8668844,84.5386,0.900614771,0.671715596,-25.41588053
-71.64049536,83.71000671,83.92060193,84.5386,0.828593286,0.617998069,-25.41599367
-71.64050168,82.63379669,83.11790615,84.5386,1.904803308,1.420693847,-25.41519428
-71.64050161,83.76959229,83.96504408,84.5386,0.769007715,0.57355592,-25.4161033
-71.64050793,82.78755951,83.2325908,84.5386,1.751040491,1.306009202,-25.41524832
-71.64051416,83.3073349,83.62026746,84.5386,1.2312651,0.918332537,-25.41553096
-71.64052041,83.5124588,83.77325999,84.5386,1.026141199,0.765340012,-25.41572129
-71.64052672,82.62609863,83.11216452,84.5386,1.912501367,1.426435477,-25.4151918
-71.64053296,83.09738922,83.46367859,84.5386,1.441210779,1.074921406,-25.41539225
-71.64053921,83.25550842,83.58161247,84.5386,1.283091577,0.956987534,-25.4154925
-71.64053924,82.7013092,83.16826064,84.5386,1.837290796,1.370339355,-25.41521689
-71.6405455,82.83194733,83.26569764,84.5386,1.706652673,1.272902361,-25.41526574
-71.64055176,82.87587738,83.29846305,84.5386,1.66272262,1.240136946,-25.41528388
-71.64055172,83.64424896,83.87155624,84.5386,0.894351038,0.667043765,-25.41588964
-71.64055802,82.91436005,83.32716551,84.5386,1.624239954,1.211434487,-25.41530059
-71.6405643,82.60588074,83.09708492,84.5386,1.932719263,1.441515079,-25.41518539
-71.64056426,83.38450623,83.67782602,84.5386,1.154093774,0.860773979,-25.41559462
-71.64057058,82.21126556,82.80275953,84.5386,2.327334436,1.735840468,-25.41508254
-71.64058303,83.61550903,83.85012044,84.5386,0.923090967,0.688479562,-25.41584883
-71.64058932,83.17533112,83.52181188,84.5386,1.363268884,1.016788116,-25.41543876
-71.6405956,82.92425537,83.33454598,84.5386,1.614344629,1.204054017,-25.41530501
-71.64060184,83.16020966,83.51053348,84.5386,1.378390344,1.02806652,-25.41542933
-71.64060813,82.69857788,83.16622348,84.5386,1.840022119,1.372376524,-25.41521595
-71.6406144,82.57266998,83.07231454,84.5386,1.965930017,1.46628546,-25.41517514
-71.64061438,83.05547333,83.43241545,84.5386,1.483126672,1.106184552,-25.41536926
-71.64061442,82.36190033,82.91511111,84.5386,2.17669967,1.623488894,-25.4151174
-71.64064574,82.27097321,82.84729273,84.5386,2.267626794,1.691307272,-25.4150958
-71.64064572,82.63968658,83.12229915,84.5386,1.898913416,1.416300846,-25.41519619
-71.64064577,81.72816467,82.4424367,84.5386,2.810435327,2.096163303,-25.41499595
-71.64066453,82.23305511,82.81901136,84.5386,2.305544885,1.71958864,-25.4150873
-71.64066452,82.4650116,82.99201708,84.5386,2.073588403,1.546582921,-25.41514418
-71.64067705,82.44738007,82.97886653,84.5386,2.091219934,1.559733472,-25.41513941
-71.64068334,81.94920349,82.60729943,84.5386,2.589396509,1.931300569,-25.41503156
-71.64070215,81.78388214,82.48399381,84.5386,2.754717859,2.054606194,-25.41500439
-71.64070211,82.38679504,82.93367893,84.5386,2.151804956,1.604921066,-25.41512363
-71.64071464,82.42771912,82.96420233,84.5386,2.110880884,1.574397675,-25.41513419
-71.64072094,81.76293182,82.46836792,84.5386,2.775668176,2.070232077,-25.41500117
-71.64072094,81.79226685,82.49024757,84.5386,2.746333154,2.048352427,-25.41500569
-71.64073345,82.2279892,82.81523292,84.5386,2.310610803,1.723367076,-25.41508618
-71.64073345,82.24281311,82.8262894,84.5386,2.29578689,1.712310598,-25.41508946
-71.64073343,82.63167572,83.11632422,84.5386,1.90692428,1.422275782,-25.41519359
